# =============================================================================
# Vardholm — English string table (authoring copy).
#
# Format: key,value. One row per string. Whole-line "#" comments and blank lines
# are ignored by ForgottenIsle.Core.Data.CsvTableParser. A value containing a
# comma, a quote or a newline must be wrapped in double quotes, and a literal
# quote inside a quoted value is doubled ("").
#
# THIS FILE IS THE AUTHORING COPY. The Editor reads it directly from
# Assets/Localization/en.csv, but a PLAYER BUILD reads
# Assets/Resources/Localization/en.csv — Unity only serves Resources.Load from a
# folder literally named Resources. The two must stay identical. After editing
# this file run, from the project root:
#
#     cp Assets/Localization/en.csv Assets/Resources/Localization/en.csv
#
# ci/validate-structure.py fails the build if the two files are not
# byte-identical, and the EditMode test EveryKeyReferencedInCode_ExistsIn_en_csv
# fails if any LocKey literal under Assets/Scripts has no row in the Resources
# copy. Neither is a style check: both failure modes ship #the.key# to a player.
#
# A key that is missing here renders in game as #the.key# — never as blank text.
# That marker is the intended failure mode; do not "fix" it by hardcoding a
# string in a screen. Add the row here instead.
#
# Key shape: <area>.<screen-or-subject>.<thing>. Areas in use:
#   ui.*     player-facing chrome        zone.*   zone display names
#   act.*    act display names           game.*   product-level strings
#   err.*    failure messages surfaced from ResultCode
# =============================================================================

# -----------------------------------------------------------------------------
# Product
# -----------------------------------------------------------------------------
game.title,Vardholm
game.subtitle,The Forgotten Isle
game.studio,Vardholm Project

# -----------------------------------------------------------------------------
# Main menu — ForgottenIsle.UI.Screens.MainMenuScreen
# -----------------------------------------------------------------------------
ui.menu.title,Vardholm
ui.menu.continue,Continue
ui.menu.new_game,New Game
ui.menu.load_game,Load Game
ui.menu.settings,Settings
ui.menu.credits,Credits
ui.menu.quit,Quit
ui.menu.no_save,No save found
ui.menu.slot_summary,{0} · {1} · {2}% recorded
ui.menu.confirm_overwrite,"This slot already holds a run. Starting a new game will overwrite it."
ui.menu.confirm_quit,Quit to desktop?

# -----------------------------------------------------------------------------
# Pause menu — ForgottenIsle.UI.Screens.PauseScreen
# -----------------------------------------------------------------------------
ui.pause.title,Paused
ui.pause.hint,The island waits.
ui.pause.resume,Resume
ui.pause.save,Save
ui.pause.load,Load
ui.pause.settings,Settings
ui.pause.quit_to_menu,Quit to Menu
ui.pause.confirm_quit_to_menu,"Unsaved progress since your last save will be lost."
ui.pause.playtime,Time played
ui.pause.recorded,Recorded

# -----------------------------------------------------------------------------
# Settings — ForgottenIsle.UI.Screens.SettingsScreen
# -----------------------------------------------------------------------------
ui.settings.title,Settings
ui.settings.language,Language
ui.settings.audio,Audio
ui.settings.audio_master,Master Volume
ui.settings.audio_music,Music
ui.settings.audio_sfx,Effects
ui.settings.display,Display
ui.settings.controls,Controls
ui.settings.comfort,Reduced Motion
ui.settings.comfort_hint,Damps camera shake and transition movement.
ui.settings.version,Version
ui.settings.build,Build
ui.settings.restore_defaults,Restore Defaults

# Locale display names. SettingsScreen composes ui.locale.<code>.name at runtime;
# a locale with no row here falls back to its raw code ("en"), not to #key#.
ui.locale.en.name,English

# -----------------------------------------------------------------------------
# Loading — ForgottenIsle.UI.Screens.LoadingScreen
# -----------------------------------------------------------------------------
ui.loading.title,Loading
ui.loading.preparing,Preparing the shore
ui.loading.streaming_zone,Streaming zone
ui.loading.percent,{0}%
ui.loading.failed_title,Could not load
ui.loading.retry,Retry
ui.loading.return_to_menu,Return to Menu

# -----------------------------------------------------------------------------
# Save slots — ForgottenIsle.UI.Screens.SaveSlotScreen / SaveSlotController
# -----------------------------------------------------------------------------
ui.save.title,Saves
ui.save.slot,Slot {0}
ui.save.slot_empty,Empty
ui.save.corrupt,Damaged save
ui.save.saved,Saved
ui.save.saving,Saving
ui.save.save_failed,Save failed
ui.save.overwrite,Overwrite
ui.save.delete,Delete
ui.save.confirm_delete,Delete this save permanently?
ui.save.playtime,"{0}h {1}m"
ui.save.recorded_percent,"{0}% recorded"
ui.save.saved_at,Saved {0}
ui.save.version_too_new,Made by a newer version of the game

# -----------------------------------------------------------------------------
# Common controls — shared by every screen
# -----------------------------------------------------------------------------
ui.common.back,Back
ui.common.cancel,Cancel
ui.common.ok,OK
ui.common.yes,Yes
ui.common.no,No
ui.common.confirm,Confirm
ui.common.close,Close
ui.common.continue,Continue
ui.common.retry,Retry
ui.common.loading,Loading
ui.common.none,None
ui.common.unknown,Unknown

# -----------------------------------------------------------------------------
# Heads-up display — ForgottenIsle.UI.Controllers.HudController
# -----------------------------------------------------------------------------
ui.hud.zone,Zone
ui.hud.clock,"Day {0}, {1}"
ui.hud.discovery_recorded,Recorded
ui.hud.interact,Examine

# -----------------------------------------------------------------------------
# Toasts — ForgottenIsle.UI.Core.ToastLayer callers
# -----------------------------------------------------------------------------
ui.toast.game_saved,Game saved
ui.toast.zone_entered,Entered {0}
ui.toast.save_failed,Could not save
ui.toast.slots_full,Every save slot is full.
ui.menu.overwrite_armed,"Every save slot is full. Tap NEW GAME again to overwrite the oldest run."

# -----------------------------------------------------------------------------
# Failure messages, one per ResultCode the player can actually provoke.
# Keyed by the code name in snake_case so a handler can map mechanically.
# -----------------------------------------------------------------------------
err.unknown_command,That action is not available.
err.illegal_state_transition,That is not possible right now.
err.no_handler,That action is not available.
err.invalid_argument,That request was not understood.
err.not_found,Not found.
err.save_write_failed,The save could not be written.
err.save_corrupt,That save file is damaged and cannot be read.
err.save_version_too_new,That save was made by a newer version of the game.
err.scene_not_found,That place does not exist in this build.
err.already_loading,Already loading.
err.load_timed_out,Loading took too long and was stopped.
err.slot_empty,That slot is empty.
err.not_allowed_in_state,That is not possible right now.

# -----------------------------------------------------------------------------
# Zones. Keys are DERIVED by SceneKeys.ZoneDisplayKey — the scene ZoneRibcage
# yields zone.ribcage.name. Adding a zone scene without adding its row here
# ships a save-slot card reading #zone.<id>.name#.
# -----------------------------------------------------------------------------
zone.ribcage.name,The Ribcage
zone.ribcage.subtitle,Wreck shelf
zone.fernmaw.name,Fernmaw
zone.fernmaw.subtitle,The fern gully

# -----------------------------------------------------------------------------
# Acts
# -----------------------------------------------------------------------------
act.one.name,Act One — Thirst
act.one.subtitle,Thirty-six hours of fresh water

# --- Phase 2: objectives -----------------------------------------------------
# One line, present tense, no exclamation marks. The objective tells the player where to point
# themselves, never what to feel about it.
objective.explore_ribcage,Explore the shore.
objective.inspect_rib_stone,Read the standing stone.
objective.find_the_tag,Something here was tagged. Find it.
objective.enter_fernmaw,Follow the gully inland.
objective.explore_fernmaw,Explore the channel.
objective.recover_the_reel,Recover the reel.
objective.return_to_shore,Return to the shore.
objective.act_complete,The record is current.
objective.make_fire,"Spark, tinder, shelter."
objective.fix_the_set,"The set's dead. Power, contacts, fuse."
objective.find_the_frequency,Find her on the dial.

# --- Phase 2: interaction verbs ---------------------------------------------
interact.inspect,INSPECT
interact.take,TAKE
interact.travel,TRAVEL
interact.examine,EXAMINE

# --- Phase 2: interactable names --------------------------------------------
interactable.rib_stone,Standing Stone
interactable.brass_tag,Brass Tag
interactable.gully_mouth,The Gully Mouth
interactable.aqueduct_cut,Cut Channel Wall
interactable.waterlogged_reel,Waterlogged Reel
interactable.channel_mouth,The Channel Mouth

# --- Phase 2: narration ------------------------------------------------------
# Nadia's voice: observation first, then the caveat. Never explains the mystery; only records it.
narration.marker.rib_stone,"The stone is warm. Not sun-warm — it has no sun on this side. Warm from underneath."
narration.discovery.brass_tag,"A brass tag, wired to the net drum. Stamped 11.04.97 and two initials. Someone serviced this."
narration.marker.aqueduct_cut,"The wall is cut. Not weathered into shape — cut, at a constant fall, by someone counting."
narration.discovery.waterlogged_reel,"Quarter-inch tape, waterlogged. Something recorded down here, and meant to keep it."
narration.gate.ribcage_to_fernmaw,"The gully runs inland. The vines across it were cut — recently, and not by weather."
narration.gate.fernmaw_to_ribcage,"The channel falls back toward the shore."

# --- Phase 2: HUD ------------------------------------------------------------
ui.hud.pause,Pause
ui.hud.objective_label,OBJECTIVE

# --- Phase 3: items ----------------------------------------------------------
# An item's name is what a person would call it holding it, not what a catalogue would.
item.brass_tag,Brass Tag
item.dry_spindle,Dry Spindle
item.waterlogged_reel,Waterlogged Reel
item.sluice_key,Sluice Key
item.rebound_reel,Rebound Reel

# --- Phase 3: interaction verbs ----------------------------------------------
interact.use,USE
interact.combine,COMBINE

# --- Phase 3: mechanisms ------------------------------------------------------
interactable.channel_sluice,Channel Sluice
interactable.tape_deck,Tape Deck

# --- Phase 3: narration -------------------------------------------------------
# Nadia's voice. Observation, then the caveat. The clue is always in what she notices,
# never in what she concludes.
narration.item.dry_spindle,"Hardwood, turned, and dry right through. Someone kept it out of the weather on purpose."
narration.item.sluice_key,"A flat steel key, still in its bracket. Not hidden. Left — the way you leave a thing you mean to come back to."
narration.item.rebound_reel,"Off the swollen core and onto the spindle. It runs free now. It will play."
narration.mechanism.channel_sluice,"A sluice, shut. The channel below it is dry, and the gate has not moved in a long time. There is a keyway."
narration.mechanism.channel_sluice.solved,"Three turns and it gives. Water finds the channel before the gate is fully open, as if it had been waiting."
narration.mechanism.tape_deck,"A deck, wired into the wall. Powered. The capstan turns when I touch it — someone has kept the mains alive out here."
narration.mechanism.tape_deck.solved,"It threads, and it plays. A woman counting. Not numbers — pressures, read aloud, one every hour, for as long as the tape runs."
narration.combine.nothing,"Those two have nothing to do with each other."
narration.use.nothing,"That does nothing here."

# --- Phase 3: inventory UI ----------------------------------------------------
ui.hud.inventory,CARRYING
ui.hud.inventory_empty,Nothing yet.
ui.hud.inventory_open,Items
ui.hud.combine_hint,"Tap two to put them together. Tap one, then the prompt, to use it on what is in front of you."
# --- Phase 6: the radio -------------------------------------------------------
item.multitool,Multitool
item.field_recorder,Field Recorder
